datetime,time,power,price,revenue,date
2026-04-04 06:00:00,06:00,120.0,370.0,11100.0,2026-04-04
2026-04-04 06:15:00,06:15,120.0,370.0,11100.0,2026-04-04
2026-04-04 06:30:00,06:30,120.0,370.0,11100.0,2026-04-04
2026-04-04 06:45:00,06:45,120.0,360.0,10800.0,2026-04-04
2026-04-04 07:00:00,07:00,120.0,350.0,10500.0,2026-04-04
2026-04-04 07:15:00,07:15,120.0,346.0,10380.0,2026-04-04
2026-04-04 07:30:00,07:30,122.5,330.0,10106.25,2026-04-04
2026-04-04 07:45:00,07:45,140.0,320.0,11200.0,2026-04-04
2026-04-04 08:00:00,08:00,140.0,295.0,10325.0,2026-04-04
2026-04-04 08:15:00,08:15,140.0,282.0,9870.0,2026-04-04
2026-04-04 08:30:00,08:30,140.0,265.0,9275.0,2026-04-04
2026-04-04 08:45:00,08:45,140.0,0.0,0.0,2026-04-04
2026-04-04 09:00:00,09:00,140.0,0.0,0.0,2026-04-04
2026-04-04 09:15:00,09:15,140.0,0.0,0.0,2026-04-04
2026-04-04 09:30:00,09:30,140.0,0.0,0.0,2026-04-04
2026-04-04 09:45:00,09:45,140.0,0.0,0.0,2026-04-04
2026-04-04 10:00:00,10:00,140.0,0.0,0.0,2026-04-04
2026-04-04 10:15:00,10:15,140.0,0.0,0.0,2026-04-04
2026-04-04 10:30:00,10:30,122.5,0.0,0.0,2026-04-04
2026-04-04 10:45:00,10:45,120.0,0.0,0.0,2026-04-04
2026-04-04 11:00:00,11:00,120.0,0.0,0.0,2026-04-04
2026-04-04 11:15:00,11:15,120.0,0.0,0.0,2026-04-04
2026-04-04 11:30:00,11:30,120.0,0.0,0.0,2026-04-04
2026-04-04 11:45:00,11:45,120.0,0.0,0.0,2026-04-04
2026-04-04 12:00:00,12:00,120.0,0.0,0.0,2026-04-04
2026-04-04 12:15:00,12:15,120.0,0.0,0.0,2026-04-04
2026-04-04 12:30:00,12:30,120.0,0.0,0.0,2026-04-04
2026-04-04 12:45:00,12:45,120.0,0.0,0.0,2026-04-04
2026-04-04 13:00:00,13:00,120.0,0.0,0.0,2026-04-04
2026-04-04 13:15:00,13:15,120.0,0.0,0.0,2026-04-04
2026-04-04 13:30:00,13:30,120.0,0.0,0.0,2026-04-04
2026-04-04 13:45:00,13:45,120.0,0.0,0.0,2026-04-04
2026-04-04 14:00:00,14:00,120.0,0.0,0.0,2026-04-04
2026-04-04 14:15:00,14:15,120.0,0.0,0.0,2026-04-04
2026-04-04 14:30:00,14:30,120.0,0.0,0.0,2026-04-04
2026-04-04 14:45:00,14:45,120.0,0.0,0.0,2026-04-04
2026-04-04 15:00:00,15:00,120.0,0.0,0.0,2026-04-04
2026-04-04 15:15:00,15:15,120.0,0.0,0.0,2026-04-04
2026-04-04 15:30:00,15:30,120.0,0.0,0.0,2026-04-04
2026-04-04 15:45:00,15:45,120.0,0.0,0.0,2026-04-04
2026-04-04 16:00:00,16:00,120.0,0.0,0.0,2026-04-04
2026-04-04 16:15:00,16:15,120.0,0.0,0.0,2026-04-04
2026-04-04 16:30:00,16:30,122.5,0.0,0.0,2026-04-04
2026-04-04 16:45:00,16:45,140.0,265.0,9275.0,2026-04-04
2026-04-04 17:00:00,17:00,140.0,290.0,10150.0,2026-04-04
2026-04-04 17:15:00,17:15,140.0,292.47,10236.45,2026-04-04
2026-04-04 17:30:00,17:30,140.0,294.24,10298.4,2026-04-04
2026-04-04 17:45:00,17:45,140.0,315.87,11055.45,2026-04-04
2026-04-04 18:00:00,18:00,140.0,324.19,11346.65,2026-04-04
2026-04-04 18:15:00,18:15,140.0,340.29,11910.150000000001,2026-04-04
2026-04-04 18:30:00,18:30,140.0,342.78,11997.3,2026-04-04
2026-04-04 18:45:00,18:45,140.0,334.58,11710.3,2026-04-04
2026-04-04 19:00:00,19:00,140.0,342.09,11973.15,2026-04-04
2026-04-04 19:15:00,19:15,140.0,344.9,12071.5,2026-04-04
2026-04-04 19:30:00,19:30,140.0,344.94,12072.9,2026-04-04
2026-04-04 19:45:00,19:45,140.0,349.92,12247.2,2026-04-04
2026-04-04 20:00:00,20:00,140.0,349.06,12217.1,2026-04-04
2026-04-04 20:15:00,20:15,140.0,347.23,12153.050000000001,2026-04-04
2026-04-04 20:30:00,20:30,140.0,345.47,12091.45,2026-04-04
2026-04-04 20:45:00,20:45,140.0,341.58,11955.3,2026-04-04
2026-04-04 21:00:00,21:00,140.0,333.52,11673.199999999999,2026-04-04
2026-04-04 21:15:00,21:15,140.0,332.58,11640.3,2026-04-04
2026-04-04 21:30:00,21:30,140.0,333.1,11658.5,2026-04-04
2026-04-04 21:45:00,21:45,140.0,343.69,12029.15,2026-04-04
2026-04-04 22:00:00,22:00,140.0,330.0,11550.0,2026-04-04
2026-04-04 22:15:00,22:15,140.0,325.0,11375.0,2026-04-04
